Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.0;NaCl;20;200;;162.0000;;;;;;;;;;;;;;;;;;;39.33;26.94;26.40;
1.4;NaCl;20;200;;167.0000;;;;;;;;;;;;;;;;;;;39.40;27.12;26.31;
2.8;NaCl;20;200;;146.0000;;;;;;;;;;;;;;;;;;;39.36;27.08;26.12;
4.2;NaCl;20;200;;199.0000;;;;;;;;;;;;;;;;;;;39.43;27.22;26.05;
5.6;NaCl;20;200;;191.0000;;;;;;;;;;;;;;;;;;;39.43;27.18;26.03;
7.0;NaCl;20;200;;199.0000;219.8081;;2.7177;0.0000;1.8118;2.7177;4.5296;2.7177;7.7002;21.2889;24.9125;50.7310;40.3130;43.4837;13.1357;2.2648;1.8118;0.4530;39.44;27.16;26.01;
8.5;NaCl;20;200;;150.0000;198.1977;;1.7257;0.8628;0.8628;3.8828;5.6085;3.0199;8.1970;28.0424;22.0025;40.5536;37.1022;32.3566;9.9227;3.8828;0.8628;0.0000;39.44;29.18;26.03;
9.9;NaCl;20;200;;193.0000;198.3649;;0.0000;0.4274;0.0000;1.7097;7.2662;3.4194;11.9679;28.6376;25.2182;42.7426;35.9038;28.6376;9.4034;3.4194;0.4274;0.0000;39.41;29.36;26.11;
11.3;NaCl;20;200;;191.0000;187.2973;;0.4273;0.0000;1.2819;2.1364;6.8366;4.2729;8.1185;22.2190;35.0377;51.7020;27.7738;16.6643;9.8277;0.8546;0.8546;0.0000;39.42;29.40;26.17;
12.7;NaCl;20;200;;179.0000;227.3108;;0.0000;0.0000;0.8547;3.8462;5.9829;5.9829;8.9744;29.4874;32.9062;53.4192;44.4447;25.6412;12.3932;3.8462;0.4274;0.0000;39.44;29.42;26.29;
14.1;NaCl;20;200;;179.0000;208.8411;;1.2513;0.4171;0.4171;2.0855;5.8393;2.0855;17.1009;25.8599;30.4480;48.8001;32.1163;32.1163;7.9248;2.5026;0.8342;0.0000;39.46;29.37;26.33;
15.5;NaCl;20;200;;215.0000;214.2386;;0.8343;0.0000;1.2514;0.8343;5.4227;2.9199;12.5139;36.7075;33.7876;47.9701;34.6219;25.0279;10.4283;2.0857;0.8343;0.0000;39.47;29.16;26.42;
16.9;NaCl;20;200;;177.0000;225.4488;;2.0853;0.0000;0.8341;5.8390;4.5878;4.5878;11.6779;32.5313;33.3655;50.0482;38.3703;27.1094;12.5121;1.2512;0.4171;1.2512;39.57;29.38;26.44;
18.3;NaCl;20;200;;223.0000;209.2563;;2.9162;0.0000;0.8332;1.6664;4.9991;4.9991;5.4157;14.1642;30.4115;48.7416;40.8263;37.0770;14.1642;2.9162;0.4166;0.4166;39.58;29.20;26.63;
19.7;NaCl;20;200;;199.0000;122.0662;;2.0828;0.0000;0.0000;0.8331;2.0828;2.0828;2.4994;10.4140;17.0789;32.4917;25.8267;17.9121;7.4981;0.8331;0.8331;0.0000;39.60;29.01;26.70;
21.2;NaCl;20;200;;201.0000;231.4757;;1.6567;0.0000;0.8284;7.4553;4.5560;3.7277;9.5263;28.9930;28.5788;54.6725;41.8327;34.3774;12.8397;1.6567;1.6567;0.0000;39.54;28.95;26.74;
22.6;NaCl;20;200;;248.0000;251.6937;;2.0708;0.0000;0.4142;2.8992;5.3842;4.1417;23.1934;46.3868;43.0734;54.2560;31.0626;27.3351;8.6975;3.7275;0.0000;0.0000;39.54;28.77;26.79;
24.0;NaCl;20;200;;244.0000;246.2982;;4.5692;0.4154;1.2461;2.9077;4.5692;4.1538;13.7075;35.3072;41.9533;66.0452;36.9687;24.0920;9.5537;1.6615;0.4154;0.0000;39.54;28.50;26.88;
25.4;NaCl;20;200;;207.0000;123.5623;;0.8298;0.0000;0.0000;0.8298;2.0745;2.0745;3.7342;12.0323;15.7665;32.3628;27.7988;19.0857;4.1491;2.0745;1.2447;0.0000;39.61;27.85;26.99;
26.8;NaCl;20;200;;217.0000;258.2825;;1.6602;0.0000;1.6602;2.0753;7.0560;6.6409;13.2819;27.3938;38.1854;57.2780;43.9962;39.0155;15.7722;3.7355;1.2452;0.4151;39.57;26.50;27.01;
28.2;NaCl;20;200;;231.0000;250.4307;;2.4905;0.0000;0.8302;1.2452;1.6603;6.2261;14.5277;38.1870;36.9418;65.9971;41.0925;27.3950;11.6221;3.3206;0.0000;0.0000;39.57;25.41;27.14;
29.6;NaCl;20;200;;235.0000;315.0355;;2.1103;0.4221;0.4221;4.2206;3.3765;3.7985;9.7073;31.6543;35.8749;56.9778;59.5101;68.7954;27.0117;10.5514;1.2662;0.4221;39.54;24.91;27.19;
31.0;NaCl;20;200;;229.0000;315.0355;;4.6476;0.0000;0.8450;1.2675;4.6476;5.9151;12.6753;35.4908;43.0960;84.0795;51.9687;46.4761;17.3229;5.4926;2.5351;0.0000;39.60;24.97;27.15;
32.4;NaCl;20;200;;231.0000;184.2264;;2.1116;0.0000;0.0000;0.4223;0.4223;1.2670;2.5340;18.1601;21.9611;38.0096;40.5436;28.2960;21.5388;7.6019;2.1116;0.0000;39.66;25.03;27.18;
