Zeit_s;Material;Fluss_lpm;Durchmesser_nm;Kommentar;CPC_conc;OPC_conc;OPC_SampleFlow;OPC_Bin0;OPC_Bin1;OPC_Bin2;OPC_Bin3;OPC_Bin4;OPC_Bin5;OPC_Bin6;OPC_Bin7;OPC_Bin8;OPC_Bin9;OPC_Bin10;OPC_Bin11;OPC_Bin12;OPC_Bin13;OPC_Bin14;OPC_Bin15;T1_C;T2_C;T3_C;T4_C
0.0;Russ;20;100;;132.0000;135.2386;2.7803;2.1661;0.0000;0.0000;0.3610;0.0000;2.8882;21.6615;31.4092;44.7671;18.0512;4.3323;5.4154;2.1661;1.4441;0.7220;0.3610;39.62;28.56;23.53;51.16
1.0;Russ;20;100;;104.0000;132.0015;2.7803;2.8875;0.0000;0.0000;1.0828;1.8047;5.7749;14.7982;31.4011;42.5900;19.8513;4.3312;4.3312;2.5265;0.7219;0.3609;0.0000;39.51;28.55;23.52;51.16
2.0;Russ;20;100;;108.0000;130.9897;2.7865;0.7209;0.3604;0.3604;0.0000;0.0000;1.8022;20.5453;32.0796;47.9391;18.3827;3.9649;3.6044;1.4418;0.3604;0.0000;0.0000;39.51;28.55;23.52;51.16
3.1;Russ;20;100;;118.0000;123.0944;2.7865;1.0799;0.0000;0.0000;0.3600;0.7199;3.2397;15.4786;28.4373;48.9554;17.9983;2.5198;1.7998;2.1598;0.3600;0.3600;0.0000;39.54;28.60;23.53;51.12
4.1;Russ;20;100;;120.0000;133.8607;2.7865;2.1619;0.0000;0.0000;0.0000;0.3603;3.6032;17.2954;30.2670;49.7243;21.6193;4.6842;3.6032;1.0810;0.0000;0.0000;0.0000;39.42;28.60;23.53;51.12
5.1;Russ;20;100;;122.0000;134.5785;2.7865;0.3603;0.0000;0.0000;0.3603;0.7206;3.9633;16.9340;38.1916;40.7137;21.6179;4.3236;5.0442;2.1618;0.7206;0.0000;0.0000;39.42;28.60;23.53;51.12
6.1;Russ;20;100;;140.0000;136.7317;2.7865;1.0814;0.0000;0.0000;0.7210;0.3605;4.6862;16.9423;32.4428;43.2571;23.4309;5.4071;6.4886;1.8024;0.7210;0.0000;0.0000;39.51;28.55;23.52;51.11
7.1;Russ;20;100;;106.0000;133.8607;2.7865;2.5247;0.0000;0.3607;1.8033;0.7213;3.2460;19.1154;28.8535;40.7556;22.3615;6.8527;5.0494;1.8033;0.7213;0.3607;0.0000;39.53;28.48;23.52;51.10
8.1;Russ;20;100;;118.0000;135.6551;2.7865;1.4413;0.0000;0.0000;0.3603;0.3603;3.2429;14.7732;27.0241;42.8782;21.6193;7.9271;10.8096;3.6032;1.4413;0.3603;0.3603;39.53;28.48;23.52;51.10
9.1;Russ;20;100;;104.0000;135.6551;2.7865;1.4413;0.0000;0.0000;0.3603;0.3603;3.2429;14.7732;27.0241;42.8782;21.6193;7.9271;10.8096;3.6032;1.4413;0.3603;0.3603;39.61;28.53;23.51;51.10
10.1;Russ;20;100;;106.0000;141.3971;2.7865;2.5224;0.0000;0.3603;0.7207;0.0000;2.5224;14.7741;35.3137;42.1603;13.3327;8.6483;11.8914;7.9276;0.7207;1.0810;0.0000;39.72;28.50;23.52;51.08
11.1;Russ;20;100;;122.0000;111.9693;2.7865;0.3601;0.0000;0.0000;0.3601;0.7202;2.8807;11.8827;24.8457;23.4053;18.7243;9.0020;13.6831;5.4012;1.0802;0.0000;0.0000;39.72;28.50;23.52;51.08
12.2;Russ;20;100;;132.0000;125.6066;2.7865;3.2440;0.0000;0.0000;0.0000;0.7209;6.4880;12.6156;24.5102;34.9631;18.3827;7.2089;9.7320;4.6858;2.1627;1.0813;0.3604;39.72;28.57;23.51;51.04
13.2;Russ;20;100;;124.0000;131.2454;2.7582;1.4559;0.7280;0.0000;0.7280;0.3640;5.0958;16.7433;20.3832;32.3947;19.2912;8.7356;13.1035;7.6437;4.0038;1.0920;0.0000;39.79;28.60;23.51;51.11
14.2;Russ;20;100;;96.5000;130.1578;2.7582;0.7279;0.0000;0.0000;0.7279;0.3640;2.9118;9.4632;22.2021;41.8565;21.8382;8.3713;10.1911;6.5515;3.2757;1.4559;0.7279;39.79;28.60;23.51;51.11
15.2;Russ;20;100;;96.5000;139.5842;2.7582;5.4619;0.0000;0.3641;0.7283;0.7283;2.9130;14.9291;22.9399;34.5919;18.5704;10.5596;16.3857;8.3749;2.1848;0.7283;0.7283;39.86;28.58;23.52;51.10
16.2;Russ;20;100;;116.0000;120.3687;2.7582;5.4621;0.0000;0.0000;0.0000;1.0924;3.6414;12.0167;18.9353;26.5823;11.6525;7.2828;16.7505;12.3808;3.2773;0.7283;1.0924;40.01;28.69;23.52;51.09
17.2;Russ;20;100;;90.5000;69.9734;2.7582;4.0039;0.0000;0.0000;0.3640;0.0000;2.1840;5.8239;8.7358;12.3758;5.0959;7.2799;8.7358;9.8278;3.6399;1.8200;0.3640;40.07;28.65;23.51;51.10
18.2;Russ;20;100;;98.4000;131.2454;2.7582;9.1000;0.0000;0.0000;0.3640;0.7280;2.5480;8.3720;22.5681;23.2961;11.2840;12.7400;16.3800;14.5600;6.5520;1.8200;1.4560;40.07;28.65;23.51;51.10
19.3;Russ;20;100;;106.0000;129.7952;2.7582;8.0056;0.0000;0.0000;0.0000;1.0917;4.7306;16.7390;18.9224;28.0197;12.3723;10.1890;14.5557;9.0973;4.7306;1.0917;0.7278;39.97;28.56;23.53;51.14
20.3;Russ;20;100;;118.0000;71.0611;2.7582;5.8223;0.0000;0.0000;0.0000;0.3639;1.8195;4.3667;6.1862;14.9196;6.5501;6.9139;12.7362;5.8223;3.2750;1.4556;1.0917;40.24;28.67;23.53;51.16
21.3;Russ;20;100;;108.0000;103.3286;2.7582;6.5510;0.0000;0.3639;0.0000;0.3639;2.1837;7.2789;16.3776;21.8368;7.2789;7.2789;10.1905;11.6463;7.2789;2.1837;2.9116;40.24;28.67;23.53;51.16
22.3;Russ;20;100;;114.0000;19.9406;2.7582;1.4564;0.0000;0.0000;0.0000;0.0000;0.7282;1.4564;3.6411;4.0052;2.9129;1.8205;0.3641;1.4564;1.0923;0.7282;0.3641;40.26;28.66;23.52;51.18
23.3;Russ;20;100;;94.5000;137.4371;2.7576;14.2020;0.7283;0.3642;0.3642;0.3642;6.1906;12.3812;17.4794;19.6643;11.6529;6.1906;16.7511;12.3812;8.7397;5.4623;5.0982;40.26;28.64;23.50;51.26
