Zeit_s;Material;Durchmesser_nm;Fluss_lpm;OPC_inst;CPC_inst;OPC_10s_avg;CPC_10s_avg;OPC_CPC_ratio;T_WT_Eingang_C;T_WT_Ausgang_C;T_Raum_C
0.0;NaCl;0;0;22.3243;0.0000;22.3243;0.3002;74.3548;37.04;24.64;27.53
1.4;NaCl;0;0;0.3784;0.0000;7.8198;0.4220;18.5298;37.35;24.69;27.46
2.9;NaCl;0;0;0.5676;0.0000;6.0068;0.4896;12.2691;37.18;24.71;27.48
4.3;NaCl;0;0;0.3784;1.9700;4.8811;0.4702;10.3810;37.21;24.71;27.57
5.7;NaCl;0;0;0.3784;0.0000;3.5405;0.5349;6.6186;37.21;24.72;27.48
7.1;NaCl;0;0;0.5676;1.9700;3.1689;0.5593;5.6661;37.17;24.72;27.58
8.5;NaCl;0;0;0.1892;0.0000;2.8378;0.6086;4.6631;37.14;24.70;27.50
9.9;NaCl;0;0;0.1892;0.0000;2.5730;0.5917;4.3488;37.33;24.74;27.44
11.3;NaCl;0;0;0.3784;1.9700;0.3405;0.5505;0.6186;37.21;24.74;27.36
12.7;NaCl;0;0;0.3784;0.0000;0.3405;0.4183;0.8140;37.26;24.76;27.39
14.2;NaCl;0;0;0.7568;0.0000;0.3595;0.5166;0.6958;37.26;24.72;27.41
15.6;NaCl;0;0;0.1892;0.0000;0.3595;0.5491;0.6546;37.38;24.72;27.54
17.0;NaCl;0;0;0.0000;0.0000;0.3216;0.6275;0.5125;37.20;24.71;27.45
18.4;NaCl;0;0;0.3784;0.0000;0.3027;0.6085;0.4974;37.33;24.70;27.41
19.8;NaCl;0;0;0.1892;0.0000;0.3027;0.6276;0.4823;37.33;24.70;27.57
21.2;NaCl;0;0;0.1892;0.0000;0.2838;0.6044;0.4695;37.16;24.71;27.61
22.6;NaCl;0;0;0.1892;0.0000;0.2649;0.5863;0.4517;37.07;24.72;27.59
24.0;NaCl;0;0;0.1892;0.0000;0.1703;0.5451;0.3124;37.02;24.69;27.55
25.4;NaCl;0;0;0.3784;0.0000;0.1892;0.5182;0.3651;36.97;24.68;27.48
26.8;NaCl;0;0;0.0000;0.0000;0.1703;0.3982;0.4276;36.97;24.73;27.43
28.2;NaCl;0;0;0.0000;3.9300;0.1703;0.3528;0.4827;36.95;24.71;27.49
29.6;NaCl;0;0;0.3784;0.0000;0.1514;0.4064;0.3724;37.07;24.69;27.59
31.0;NaCl;0;0;0.0000;0.0000;0.1324;0.4260;0.3109;36.89;24.70;27.62
32.4;NaCl;0;0;0.0000;0.0000;0.1135;0.4278;0.2654;36.80;24.68;27.68
33.9;NaCl;0;0;0.3784;0.0000;0.1892;0.4498;0.4206;36.72;24.64;27.74
35.3;NaCl;0;0;0.0000;0.0000;0.1703;0.4719;0.3608;36.94;24.63;27.82
36.7;NaCl;0;0;0.0000;0.0000;0.1324;0.6103;0.2170;36.87;24.58;28.04
38.1;NaCl;0;0;0.1892;0.0000;0.1514;0.6072;0.2493;37.04;24.52;27.85
39.5;NaCl;0;0;0.1892;0.0000;0.2081;0.5695;0.3654;36.95;24.49;27.67
40.9;NaCl;0;0;0.0000;1.9700;0.1703;0.6386;0.2666;36.85;24.46;27.55
42.3;NaCl;0;0;0.0000;0.0000;0.1703;0.6712;0.2537;36.87;24.45;27.54
43.7;NaCl;0;0;0.0000;0.0000;0.1514;0.6996;0.2164;36.86;24.46;27.58
45.1;NaCl;0;0;0.3784;0.0000;0.1514;0.6144;0.2463;36.92;24.47;27.66
46.6;NaCl;0;0;0.1892;3.9300;0.1703;0.5356;0.3179;36.81;24.43;27.71
48.0;NaCl;0;0;0.1892;0.0000;0.1703;0.5639;0.3019;37.00;24.46;27.84
49.4;NaCl;0;0;0.0000;0.0000;0.1324;0.5261;0.2517;37.10;24.47;27.93
50.8;NaCl;0;0;0.1892;0.0000;0.1324;0.4820;0.2747;37.12;24.50;28.15
52.2;NaCl;0;0;0.1892;0.0000;0.2081;0.4631;0.4493;37.17;24.53;28.08
53.6;NaCl;0;0;0.3784;0.0000;0.2081;0.4435;0.4692;37.28;24.56;28.02
55.0;NaCl;0;0;0.0000;0.0000;0.2081;0.5207;0.3997;37.12;24.57;27.89
56.4;NaCl;0;0;0.0000;0.0000;0.1703;0.5042;0.3377;37.22;24.58;27.81
57.8;NaCl;0;0;0.1892;0.0000;0.1892;0.4381;0.4318;37.25;24.58;27.87
59.2;NaCl;0;0;0.3784;0.0000;0.2081;0.4357;0.4777;37.10;24.55;27.86
