Zeit_s;Material;Durchmesser_nm;Fluss_lpm;OPC_inst;CPC_inst;OPC_10s_avg;CPC_10s_avg;OPC_CPC_10s_ratio;OPC_glob_avg;CPC_glob_avg;OPC_CPC_glob_ratio;T_WT_Eingang_C;T_WT_Ausgang_C;T_Raum_C
0.0;NaCl;0;0;52.9730;0.0000;52.9730;0.4065;130.3187;52.9730;0.0000;;37.17;24.66;27.81
1.4;NaCl;0;0;0.0000;1.9700;17.6577;0.4365;40.4488;26.4865;0.9850;26.8898;37.02;24.68;27.86
2.8;NaCl;0;0;0.3784;0.0000;13.3378;0.3880;34.3749;17.7838;0.6567;27.0819;37.03;24.69;27.88
4.2;NaCl;0;0;0.0000;3.9300;10.6703;0.3887;27.4500;13.3378;1.4750;9.0426;37.13;24.71;27.77
5.6;NaCl;0;0;0.1892;1.9700;8.9234;0.4266;20.9185;10.7081;1.5740;6.8031;37.00;24.74;27.74
7.1;NaCl;0;0;0.1892;1.9700;6.7399;0.4668;14.4376;8.9550;1.6400;5.4603;37.10;24.70;27.62
8.5;NaCl;0;0;0.3784;0.0000;6.0330;0.5237;11.5210;7.7297;1.4057;5.4988;37.02;24.71;27.53
9.9;NaCl;0;0;0.0000;1.9700;5.4297;0.5498;9.8760;6.7635;1.4763;4.5816;37.00;24.66;27.49
11.3;NaCl;0;0;0.0000;1.9700;0.1514;0.6098;0.2482;6.0120;1.5311;3.9266;36.95;24.62;27.49
12.7;NaCl;0;0;0.0000;0.0000;0.1514;0.7834;0.1932;5.4108;1.3780;3.9266;37.06;24.62;27.67
14.1;NaCl;0;0;0.0000;0.0000;0.1135;0.7651;0.1484;4.9189;1.2527;3.9266;36.97;24.65;27.70
15.5;NaCl;0;0;0.1892;0.0000;0.1324;0.6865;0.1929;4.5248;1.1483;3.9403;37.22;24.66;27.77
16.9;NaCl;0;0;0.1892;1.9700;0.1324;0.6488;0.2041;4.1913;1.2115;3.4595;37.22;24.65;27.71
18.3;NaCl;0;0;0.1892;0.0000;0.1324;0.6054;0.2187;3.9054;1.1250;3.4715;37.31;24.66;27.73
19.8;NaCl;0;0;0.7568;0.0000;0.1703;0.6076;0.2802;3.6955;1.0500;3.5195;37.22;24.65;27.70
21.2;NaCl;0;0;0.0000;0.0000;0.1514;0.5760;0.2628;3.4645;0.9844;3.5195;37.24;24.65;27.79
22.6;NaCl;0;0;0.0000;0.0000;0.1514;0.3933;0.3849;3.2607;0.9265;3.5195;37.12;24.65;27.87
24.0;NaCl;0;0;0.5676;0.0000;0.2081;0.4694;0.4433;3.1111;0.8750;3.5556;37.36;24.71;27.97
25.4;NaCl;0;0;0.1892;0.0000;0.2459;0.4472;0.5500;2.9573;0.8289;3.5676;37.23;24.67;27.83
26.8;NaCl;0;0;0.0000;0.0000;0.2270;0.5017;0.4525;2.8095;0.7875;3.5676;37.26;24.69;27.81
28.2;NaCl;0;0;0.1892;0.0000;0.2270;0.4835;0.4695;2.6847;0.7500;3.5796;37.28;24.64;27.78
29.6;NaCl;0;0;0.0000;0.0000;0.1703;0.4796;0.3550;2.5627;0.7159;3.5796;37.44;24.69;27.77
31.0;NaCl;0;0;0.1892;0.0000;0.1892;0.4573;0.4137;2.4595;0.6848;3.5916;37.23;24.69;27.86
32.4;NaCl;0;0;1.1351;0.0000;0.3027;0.4860;0.6229;2.4043;0.6562;3.6637;37.22;24.72;27.91
33.8;NaCl;0;0;0.5676;3.9300;0.3595;0.4573;0.7860;2.3308;0.7872;2.9609;37.25;24.75;27.95
35.2;NaCl;0;0;0.1892;0.0000;0.3595;0.5461;0.6582;2.2484;0.7569;2.9705;37.11;24.78;27.91
36.7;NaCl;0;0;0.7568;0.0000;0.4162;0.5390;0.7722;2.1932;0.7289;3.0090;37.12;24.74;27.77
38.1;NaCl;0;0;0.1892;5.9000;0.4351;0.6530;0.6663;2.1216;0.9136;2.3223;37.26;24.75;27.63
39.5;NaCl;0;0;1.8919;0.0000;0.6622;0.7101;0.9325;2.1137;0.8821;2.3963;37.04;24.74;27.45
40.9;NaCl;0;0;0.9459;0.0000;0.7568;0.9777;0.7740;2.0748;0.8527;2.4333;37.22;24.72;27.50
42.3;NaCl;0;0;0.5676;3.9300;0.7946;1.0988;0.7231;2.0262;0.9519;2.1285;36.97;24.72;27.62
43.7;NaCl;0;0;0.1892;0.0000;0.7000;1.1995;0.5836;1.9688;0.9222;2.1349;37.05;24.72;27.68
45.1;NaCl;0;0;0.1892;0.0000;0.6432;1.1875;0.5417;1.9148;0.8942;2.1413;37.08;24.74;27.70
46.5;NaCl;0;0;0.1892;1.9700;0.6432;1.2411;0.5183;1.8641;0.9259;2.0133;37.16;24.73;27.67
47.9;NaCl;0;0;0.0000;0.0000;0.5676;1.1546;0.4916;1.8108;0.8994;2.0133;37.11;24.72;27.52
49.3;NaCl;0;0;0.0000;0.0000;0.4730;1.1989;0.3945;1.7605;0.8744;2.0133;37.00;24.68;27.55
50.8;NaCl;0;0;0.1892;0.0000;0.3027;1.0819;0.2798;1.7180;0.8508;2.0193;37.10;24.69;27.72
52.2;NaCl;0;0;0.3784;0.0000;0.2459;0.8985;0.2737;1.6828;0.8284;2.0313;36.98;24.67;27.62
53.6;NaCl;0;0;0.0000;0.0000;0.1514;0.7658;0.1976;1.6396;0.8072;2.0313;36.96;24.66;27.49
55.0;NaCl;0;0;0.0000;0.0000;0.1324;0.6541;0.2025;1.5986;0.7870;2.0313;37.05;24.67;27.33
56.4;NaCl;0;0;0.0000;0.0000;0.1135;0.6089;0.1864;1.5597;0.7678;2.0313;36.89;24.67;27.20
57.8;NaCl;0;0;0.3784;3.9300;0.1324;0.6152;0.2153;1.5315;0.8431;1.8166;37.03;24.69;27.26
59.2;NaCl;0;0;0.1892;0.0000;0.1514;0.4551;0.3325;1.5003;0.8235;1.8219;36.98;24.73;27.44
